Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"On the orthonormalization of sparse vectors","Computing","","3","4","10.1007/BF02235393","Dr. R. P. Tewarson","1968","http://link.springer.com/article/10.1007/BF02235393","Article"
"Buchbesprechungen","Computing","","3","4","10.1007/BF02235404","H. J. StetterE. BukovicsI. TrochW. MüllerW. JungingerW. WehrmannK. H. FasolH. KremserW. KnödelW. HändlerH. BerteleP. RoosP. MeisslJ. HeinholdR. AlbrechtR. Risak","1968","http://link.springer.com/article/10.1007/BF02235404","Article"
"A heuristic approach to algorithms intended for the solution of the timetable-problem","Computing","","4","4","10.1007/BF02235469","D. Lazak","1969","http://link.springer.com/article/10.1007/BF02235469","Article"
"A computer-oriented representation of matrices","Computing","","6","1 - 2","10.1007/BF02241728","Dr. E. NudingIngrid Kahlert-Warmbold","1970","http://link.springer.com/article/10.1007/BF02241728","Article"
"Ein System zum formalen Umformen mathemathischer Ausdrücke mit Hilfe von Rechenautomaten","Computing","","6","1 - 2","10.1007/BF02241743","Eberhard Vogel","1970","http://link.springer.com/article/10.1007/BF02241743","Article"
"Buchbesprechungen","Computing","","11","3","10.1007/BF02252918","H. FlorianJ. Stetter","1973","http://link.springer.com/article/10.1007/BF02252918","Article"
"An approximate solution of optimal allocation problem by a nomograph","Computing","","14","1 - 2","10.1007/BF02242309","Y. Takasawaa. o. Prof. H. Yanai","1975","http://link.springer.com/article/10.1007/BF02242309","Article"
"Buchbesprechungen","Computing","","16","1 - 2","10.1007/BF02241988","W. BaronR. AlbrechtH. KernerG. VincenaW. BarthCh. W. ÜberhuberP. BergerH. WillI. TrochH. KrausR. BraunH. J. StetterG. GrabnerA. MarksteinerR. EierM. H. Paul","1976","http://link.springer.com/article/10.1007/BF02241988","Article"
"Stable solution of instable systems of linear equations with a band matrix","Computing","","20","2","10.1007/BF02252342","Prof. Dr. L. Berg","1978","http://link.springer.com/article/10.1007/BF02252342","Article"
"Numerical solution of nonlinear elliptic partial differential equations by a generalized conjugate gradient method","Computing","","19","4","10.1007/BF02252030","P. ConcusG. H. GolubD. P. O'Leary","1978","http://link.springer.com/article/10.1007/BF02252030","Article"
"L-A-S (Linear Algebra and System) language and its use in control system education and research","Computing","","23","1","10.1007/BF02252609","Prof. S. P. BingulacM. A. Farias","1979","http://link.springer.com/article/10.1007/BF02252609","Article"
"Implementation of defect correction methods for stiff differential equations","Computing","","23","3","10.1007/BF02252129","Dr. C. W. Ueberhuber","1979","http://link.springer.com/article/10.1007/BF02252129","Article"
"Steplength algorithms for minimizing a class of nondifferentiable functions","Computing","","23","4","10.1007/BF02254861","Dr. W. MurrayDr. M. L. Overton","1979","http://link.springer.com/article/10.1007/BF02254861","Article"
"On the iterative inclusion of solutions in initial-value problems for ordinary differential equations","Computing","","22","4","10.1007/BF02265314","Dr. H. Bauch","1979","http://link.springer.com/article/10.1007/BF02265314","Article"
"Implementation of universal computer arithmetic with optimal accuracy","Computing","","24","2 - 3","10.1007/BF02281723","Dr. K. Grüner","1980","http://link.springer.com/article/10.1007/BF02281723","Article"
"Fundamentals of SIGLA, an interval computing system over the completed set of intervals","Computing","","24","2 - 3","10.1007/BF02281722","Prof. Dr. E. GardeñesProf. A. Trepat","1980","http://link.springer.com/article/10.1007/BF02281722","Article"
"Algorithm/algorithmus 42 an algorithm for cubic spline fitting with convexity constraints","Computing","","24","4","10.1007/BF02237820","Dr. Ir. P. Dierckx","1980","http://link.springer.com/article/10.1007/BF02237820","Article"
"An adaptive, multi-level method for elliptic boundary value problems","Computing","","26","2","10.1007/BF02241777","Prof. R. E. BankProf. A. H. Sherman","1981","http://link.springer.com/article/10.1007/BF02241777","Article"
"Formula manipulation in ALGOL 68 and application to Routh's algorithm","Computing","","26","2","10.1007/BF02241782","Dr. K. Dekker","1981","http://link.springer.com/article/10.1007/BF02241782","Article"
"Algorithm for the solution of the Bottleneck Assignment Problem","Computing","","27","2","10.1007/BF02243552","G. CarpanetoP. Toth","1981","http://link.springer.com/article/10.1007/BF02243552","Article"
"Heuristic algorithms for the multiple knapsack problem","Computing","","27","2","10.1007/BF02243544","S. MartelloP. Toth","1981","http://link.springer.com/article/10.1007/BF02243544","Article"
"Computational experience with an algorithm for discrete L1 approximation","Computing","","27","3","10.1007/BF02237982","Mr. S. BaboolalDr. G. A. Watson","1981","http://link.springer.com/article/10.1007/BF02237982","Article"
"Parallel algorithms for the single source shortest path problem","Computing","","29","1","10.1007/BF02254849","P. MatetiN. Deo","1982","http://link.springer.com/article/10.1007/BF02254849","Article"
"Alternating sequential-parallel calculation of eigenvalues for symmetric matrices","Computing","","28","1","10.1007/BF02237991","Prof. Dr. Y. Wallach","1982","http://link.springer.com/article/10.1007/BF02237991","Article"
"A comparison of methods for determining turning points of nonlinear equations","Computing","","29","3","10.1007/BF02241698","R. G. MelhemW. C. Rheinboldt","1982","http://link.springer.com/article/10.1007/BF02241698","Article"
"Algorithm fast fourier transforms with recursively generated trigonometric functions","Computing","","29","3","10.1007/BF02241701","Dr. K. Dobeš","1982","http://link.springer.com/article/10.1007/BF02241701","Article"
"A comparative performance evaluation of 27 nonlinear programming codes","Computing","","30","4","10.1007/BF02242139","Dr. W. HockProf. K. Schittkowski","1983","http://link.springer.com/article/10.1007/BF02242139","Article"
"Variable metric methods for linearly constrained nonlinear minimax approximation","Computing","","30","4","10.1007/BF02242138","L. Lukšan","1983","http://link.springer.com/article/10.1007/BF02242138","Article"
"Random variate generation for unimodal and monotone densities","Computing","","32","1","10.1007/BF02243018","Prof. Dr. L. Devroye","1984","http://link.springer.com/article/10.1007/BF02243018","Article"
"Computing surface of constant mean curvature with singularities","Computing","","32","1","10.1007/BF02243020","Dr. D. E. Hewgill","1984","http://link.springer.com/article/10.1007/BF02243020","Article"
"A numerical solution of the membrane eigenvalue problem","Computing","","32","2","10.1007/BF02253691","Dr. A. B. Sideridis","1984","http://link.springer.com/article/10.1007/BF02253691","Article"
"Alternate strategies for solving bottleneck assignment problems —analysis and computational results","Computing","","33","2","10.1007/BF02240182","U. Derigs","1984","http://link.springer.com/article/10.1007/BF02240182","Article"
"Algorithms for smoothing data on the sphere with tensor product splines","Computing","","32","4","10.1007/BF02243776","Dr. Ir. P. Dierckx","1984","http://link.springer.com/article/10.1007/BF02243776","Article"
"Accurate arithmetic results for decimal data on non-decimal computers","Computing","","35","2","10.1007/BF02260501","Dr. W. AuzingerProf. Dr. H. J. Stetter","1985","http://link.springer.com/article/10.1007/BF02260501","Article"
"An intervalal gorithm for solving systems of linear equations to prespecified accuracy","Computing","","34","2","10.1007/BF02259840","J. W. DemmelProf. F. Krückeberg","1985","http://link.springer.com/article/10.1007/BF02259840","Article"
"Asynchronous algorithms for poisson's equation with nonlinear boundary conditions","Computing","","34","2","10.1007/BF02259842","M. N. AnwarM. N. El Tarazi","1985","http://link.springer.com/article/10.1007/BF02259842","Article"
"Modifications of some first kind integral equations with logarithmic kernel to improve numerical conditioning","Computing","","34","3","10.1007/BF02253319","S. Christiansen","1985","http://link.springer.com/article/10.1007/BF02253319","Article"
"Chinese character processing systems in China","Journal of Computer Science and Technology","","1","1","10.1007/BF02943295","Weichang Liu","1986","http://link.springer.com/article/10.1007/BF02943295","Article"
"Recursive implementation of VLSI circuits","Journal of Computer Science and Technology","","1","2","10.1007/BF02943274","Yulin Feng","1986","http://link.springer.com/article/10.1007/BF02943274","Article"
"DMODULA: A distributed programming language","Journal of Computer Science and Technology","","1","2","10.1007/BF02943269","Zhongxiu SunLujun Shang","1986","http://link.springer.com/article/10.1007/BF02943269","Article"
"A graphics system distributed across a local area network","Journal of Computer Science and Technology","","1","3","10.1007/BF02979462","Enhua Wu","1986","http://link.springer.com/article/10.1007/BF02979462","Article"
"Vector computer 757","Journal of Computer Science and Technology","","1","3","10.1007/BF02979459","Qingshi GaoXiang ZhangShufan YangShuqing Chen","1986","http://link.springer.com/article/10.1007/BF02979459","Article"
"AGDL: A definition language for attribute grammars","Journal of Computer Science and Technology","","1","3","10.1007/BF02979464","Yanwen Qu","1986","http://link.springer.com/article/10.1007/BF02979464","Article"
"Kernel language KLND","Journal of Computer Science and Technology","","1","3","10.1007/BF02979463","Cui ZhangQinping ZhaoJiafu Xu","1986","http://link.springer.com/article/10.1007/BF02979463","Article"
"The design and implementation of the syntax-directed editor generator (SEG)","Journal of Computer Science and Technology","","1","4","10.1007/BF02943307","Guoliang ZhengHui Li","1986","http://link.springer.com/article/10.1007/BF02943307","Article"
"Efficient classes of Runge-Kutta methods for two-point boundary value problems","Computing","","37","4","10.1007/BF02251090","W. H. EnrightP. H. Muir","1986","http://link.springer.com/article/10.1007/BF02251090","Article"
"A compact variable metric algorithm for nonlinear minimax approximation","Computing","","36","4","10.1007/BF02240210","L. Lukšan","1986","http://link.springer.com/article/10.1007/BF02240210","Article"
"Interpolants for Runge-Kutta-Nyström methods","Computing","","39","1","10.1007/BF02307711","J. M. Fine","1987","http://link.springer.com/article/10.1007/BF02307711","Article"
"FORTRAN-SC a study of a FORTRAN extension for engineering/scientific computation with access to ACRITH","Computing","","39","2","10.1007/BF02310100","J. H. BleherS. M. RumpU. KulischM. MetzgerCh. UllrichW. Walter","1987","http://link.springer.com/article/10.1007/BF02310100","Article"
"Efficient solutions of hierarchical systems of linear equations","Computing","","39","2","10.1007/BF02310101","Th. LengauerCh. Wieners","1987","http://link.springer.com/article/10.1007/BF02310101","Article"
"Computational experiments with algorithms for stiff ODEs","Computing","","38","2","10.1007/BF02240180","P. Seifert","1987","http://link.springer.com/article/10.1007/BF02240180","Article"
"CAD system of microprogrammed digital systems","Journal of Computer Science and Technology","","2","3","10.1007/BF02973507","Minghui Li","1987","http://link.springer.com/article/10.1007/BF02973507","Article"
"Derivation and implementation of an algorithm for singular integrals","Computing","","38","3","10.1007/BF02240098","Dr. Franca CaliòDr. Elena Marchetti","1987","http://link.springer.com/article/10.1007/BF02240098","Article"
